Revenue,Quantity,Price,Total Cost,Profit,Order Date,Month,Customer Name,Region,Order Time (IST)
43.17,1,43.17,30.6507,12.5193,10-Feb-24,February,Customer 12,Central,1:44 PM
973.92,12,81.16,788.8752,185.0448,02-Jun-23,June,Customer 3244,North,7:41 PM
397.18,14,28.37,333.6312,63.5488,03-Oct-23,October,Customer 1463,East,11:49 AM
352.92,17,20.76,314.0988,38.8212,03-May-23,May,Customer 1223,North,1:09 PM
197.1,5,39.42,139.941,57.159,18-Feb-23,February,Customer 2248,South,12:17 PM
870.61,13,66.97,461.4233,409.1867,18-Oct-23,October,Customer 2145,Central,3:08 PM
1129.14,18,62.73,835.5636,293.5764,09-Apr-23,April,Customer 3525,North,3:04 PM
80.36,7,11.48,44.198,36.162,03-Aug-24,August,Customer 1729,Central,10:53 AM
223.16,7,31.88,122.738,100.422,07-Apr-23,April,Customer 1066,North,3:41 PM
362.6,14,25.9,235.69,126.91,19-Sep-24,September,Customer 1535,West,3:19 PM
342.44,7,48.92,256.83,85.61,09-Dec-24,December,Customer 4357,North,1:46 PM
62.92,1,62.92,47.19,15.73,20-Jul-23,July,Customer 3138,Central,5:34 PM
56.3,5,11.26,32.654,23.646,12-Jan-24,January,Customer 939,East,9:56 AM
96.2,2,48.1,54.834,41.366,22-Jul-24,July,Customer 4080,Central,3:19 PM
1365.56,14,97.54,778.3692,587.1908,10-Sep-24,September,Customer 4253,Central,6:48 PM
171.36,6,28.56,104.5296,66.8304,03-Apr-23,April,Customer 2679,North,6:54 PM
1082.9,17,63.7,801.346,281.554,16-Jul-24,July,Customer 611,South,8:08 PM
1024.42,17,60.26,594.1636,430.2564,26-Aug-23,August,Customer 3735,North,7:45 PM
526.2,15,35.08,468.318,57.882,29-Dec-24,December,Customer 1037,North,3:19 PM
687.06,11,62.46,439.7184,247.3416,15-Oct-23,October,Customer 44,West,9:08 PM
714.32,8,89.29,600.0288,114.2912,08-Jan-24,January,Customer 1259,Central,11:20 AM
918.4,20,45.92,615.328,303.072,13-Jun-23,June,Customer 1398,North,10:36 AM
104.76,3,34.92,93.2364,11.5236,06-Apr-24,April,Customer 1605,North,9:49 AM
596.68,14,42.62,453.4768,143.2032,10-Jan-23,January,Customer 2686,East,9:53 PM
384.37,7,54.91,330.5582,53.8118,25-Oct-24,October,Customer 2163,South,5:09 PM
1138.08,16,71.13,830.7984,307.2816,18-Nov-24,November,Customer 343,East,4:17 PM
211.35,5,42.27,139.491,71.859,21-Nov-24,November,Customer 3860,West,8:54 PM
801.72,12,66.81,561.204,240.516,08-Jan-23,January,Customer 168,North,11:58 AM
191.8,4,47.95,99.736,92.064,16-Dec-24,December,Customer 2535,South,3:14 PM
1483.02,18,82.39,1186.416,296.604,15-Nov-23,November,Customer 533,West,7:52 PM
406,20,20.3,267.96,138.04,09-Feb-23,February,Customer 660,North,5:37 PM
659.28,8,82.41,356.0112,303.2688,21-Jul-23,July,Customer 3754,South,10:58 AM
377.37,9,41.93,256.6116,120.7584,18-May-24,May,Customer 3492,West,4:57 PM
